Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Richmond,F45 Richmond,28 Cremorne Street,VIC,3121,2021-07-15,15/07/2021,6:45am - 8:05am,Case attended venue,2021-07-16,16/07/2021,21:43:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:45:00,08:05:00
Waurn Ponds,Deakin University - Waurn Ponds Campus - All floors of buildings IB and IC,75 Pigdons Road,VIC,3216,2021-07-14,14/07/2021,10:00am - 2:00pm,Case attended venue,2021-07-16,16/07/2021,21:28:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:00:00,14:00:00
Waurn Ponds,"Deakin University - Waurn Ponds Campus - Market Hall (cafeteria), Building JB",75 Pigdons Road,VIC,3216,2021-07-14,14/07/2021,12:00pm - 1:00pm,Case attended venue,2021-07-16,16/07/2021,21:28:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,13:00:00
Cowes,Phillip Island Bakery,57-59 Thompson Avenue,VIC,3922,2021-07-13,13/07/2021,1:00pm - 1:45pm,Case attended venue,2021-07-16,16/07/2021,21:02:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",13:00:00,13:45:00
Cowes,"North Pier Hotel - Main Building, Ground Floor",5 The Esplanade,VIC,3922,2021-07-12,12/07/2021,7:22pm - 10:47pm,Case attended venue,2021-07-16,16/07/2021,21:02:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:22:00,22:47:00
Cowes,Phillip Island Coffee Co ,1/29 Thompson Avenue,VIC,3922,2021-07-14,14/07/2021,9:10am - 9:50am,Case attended venue,2021-07-16,16/07/2021,21:02:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:10:00,09:50:00
Bentleigh East,"Basketball Stadium, Valkstone Primary School",44 Valkstone Street,VIC,3165,2021-07-14,14/07/2021,4:45pm - 6:30pm,Case attended venue,2021-07-16,16/07/2021,21:02:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:45:00,18:30:00
Melbourne,Yarra Yarra Rowing Club,2 Boathouse Drive,VIC,3004,2021-07-15,15/07/2021,8:02am - 10:00am,Case attended venue,2021-07-16,16/07/2021,20:12:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:02:00,10:00:00
Melbourne,Yarra Yarra Rowing Club,2 Boathouse Drive,VIC,3004,2021-07-14,14/07/2021,6:05am - 8:00am,Case attended venue,2021-07-16,16/07/2021,20:12:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:05:00,08:00:00
Hawthorn East,Anaconda Hawthorn East,3/742 Toorak Road,VIC,3123,2021-07-15,15/07/2021,10:20am - 11:10am,Case attended venue,2021-07-16,16/07/2021,20:01:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:20:00,11:10:00
Camberwell,Woolworths Camberwell,5/57 Station Street,VIC,3124,2021-07-14,14/07/2021,4:15pm - 5:15pm,Case attended venue,2021-07-16,16/07/2021,19:59:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",16:15:00,17:15:00
San Remo,Porter Fresh Poke Bowls,117 Marine Parade,VIC,3922,2021-07-15,15/07/2021,10:00am - 10:30am,Case attended venue,2021-07-16,16/07/2021,18:58:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:00:00,10:30:00
